collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches
bordeaux;bor_210;nicia;http://linkedplaces.org/places/bor_210;Nicia;29.715443;40.426679;[{"uri":"http://pleiades.stoa.org/places/511268","names":['Helikore', 'Nicaea']}];
bordeaux;bor_152;idomo;http://linkedplaces.org/places/bor_152;Idomo;21.345266;44.148941;[{"uri":"http://pleiades.stoa.org/places/207183","names":['Idimum']}];
bordeaux;bor_16;ad nonum;http://linkedplaces.org/places/bor_16;Ad Nonum;1.5179;43.4916;[{"uri":"http://pleiades.stoa.org/places/246137","names":['Ad Nonum']}];
bordeaux;bor_96;apicilia;http://linkedplaces.org/places/bor_96;Apicilia;12.98675;45.78756;[{"uri":"http://pleiades.stoa.org/places/187287","names":['Apicilia']}];
bordeaux;bor_211;schinae;http://linkedplaces.org/places/bor_211;Schinae;29.915044;40.413487;[{"uri":"http://pleiades.stoa.org/places/511412","names":['Schinae']}];
bordeaux;bor_153;ad octauum;http://linkedplaces.org/places/bor_153;Ad Octauum;21.313576;44.042641;[{"uri":"http://pleiades.stoa.org/places/206889","names":['Ad Octavum']}];
bordeaux;bor_17;ad vicesimum;http://linkedplaces.org/places/bor_17;Ad Vicesimum;1.668689;43.433758;[{"uri":"http://pleiades.stoa.org/places/246143","names":['Ad Vicesimum']}];
bordeaux;bor_267;ladica;http://linkedplaces.org/places/bor_267;Ladica;35.782047;35.513994;[{"uri":"http://pleiades.stoa.org/places/668290","names":['Laodicea', 'Laodikene', 'Mazabda']}];
bordeaux;bor_97;ad vndecimum;http://linkedplaces.org/places/bor_97;Ad Vndecimum;13.215652;45.833489;[{"uri":"http://pleiades.stoa.org/places/187260","names":['Ad Undecimum 1']}];
bordeaux;bor_212;mido;http://linkedplaces.org/places/bor_212;Mido;29.981601;40.36105;[{"uri":"http://pleiades.stoa.org/places/511326","names":['Mygdum', 'Midum']}];
bordeaux;bor_154;oromago;http://linkedplaces.org/places/bor_154;Oromago;21.37044;43.93376;[{"uri":"http://pleiades.stoa.org/places/207173","names":['Horreum Margi']}];
bordeaux;bor_268;gabala;http://linkedplaces.org/places/bor_268;Gabala;35.92429;35.36171;[{"uri":"http://pleiades.stoa.org/places/668250","names":['Gabala']}];
bordeaux;bor_18;elusione;http://linkedplaces.org/places/bor_18;Elusione;1.8173718;43.360676;[{"uri":"http://pleiades.stoa.org/places/246381","names":['Elusio', 'Elesiodulis', "Saint-Pierre-d'Alzonne, Montferrand"]}];
bordeaux;bor_213;chogeae;http://linkedplaces.org/places/bor_213;Chogeae;30.128565;40.289705;[{"uri":"http://pleiades.stoa.org/places/511210","names":['Chogeae']}];
bordeaux;bor_214;thateso;http://linkedplaces.org/places/bor_214;Thateso;30.24468;40.248889;[{"uri":"http://pleiades.stoa.org/places/511437","names":['Thateso']}];
bordeaux;bor_269;balaneas;http://linkedplaces.org/places/bor_269;Balaneas;35.928176;35.15354;[{"uri":"http://pleiades.stoa.org/places/668206","names":['Balanea', 'Leukas']}];
bordeaux;bor_19;sostomago;http://linkedplaces.org/places/bor_19;Sostomago;1.95681;43.31705;[{"uri":"http://pleiades.stoa.org/places/246660","names":['Sostomagus', 'Sextomagus', 'Castelnaudary']}];
bordeaux;bor_155;sarmatorum;http://linkedplaces.org/places/bor_155;Sarmatorum;21.408727;43.786788;[{"uri":"http://pleiades.stoa.org/places/207424","names":['Sarmates']}];
bordeaux;bor_20;hebromago;http://linkedplaces.org/places/bor_20;Hebromago;2.11342;43.24359;[{"uri":"http://pleiades.stoa.org/places/246413","names":['Hebromagus', 'Eburomagus', 'Bram']}];
bordeaux;bor_156;caminitas;http://linkedplaces.org/places/bor_156;Caminitas;21.54862;43.673017;[{"uri":"http://pleiades.stoa.org/places/207006","names":['Cametas']}];
bordeaux;bor_215;protunica;http://linkedplaces.org/places/bor_215;Protunica;30.3429555;40.286922;[{"uri":"http://pleiades.stoa.org/places/511431","names":['Tattaios']}];
bordeaux;bor_21;cedros;http://linkedplaces.org/places/bor_21;Cedros;2.2544606;43.225184;[{"uri":"http://pleiades.stoa.org/places/246320","names":['Cedros']}];
bordeaux;bor_270;maraccas;http://linkedplaces.org/places/bor_270;Maraccas;35.898709;35.041299;[{"uri":"http://pleiades.stoa.org/places/668305","names":['Maraccas']}];
bordeaux;bor_216;artemis;http://linkedplaces.org/places/bor_216;Artemis;30.489235;40.266892;[{"uri":"http://pleiades.stoa.org/places/511383","names":['Protunica']}];
bordeaux;bor_157;ipompeis;http://linkedplaces.org/places/bor_157;Ipompeis;21.610451;43.591955;[{"uri":"http://pleiades.stoa.org/places/207363","names":['Praesidium Pompei']}];
bordeaux;bor_22;castellum carcassone;http://linkedplaces.org/places/bor_22;Castellum Carcassone;2.364076;43.205842;[{"uri":"http://pleiades.stoa.org/places/246294","names":['Carcasso', 'Carcaso', 'Col. Iulia', 'Carcasum Volcarum Tectosagarum', 'Carcassonne']}];
bordeaux;bor_99;ad vndecimum;http://linkedplaces.org/places/bor_99;Ad Vndecimum;13.50011;45.89305;[{"uri":"http://pleiades.stoa.org/places/187261","names":['Ad Undecimum 2']}];
bordeaux;bor_271;antaradus;http://linkedplaces.org/places/bor_271;Antaradus;35.88929;34.884894;[{"uri":"http://pleiades.stoa.org/places/668190","names":['Antarados', 'Constantia']}];
bordeaux;bor_158;rampiana;http://linkedplaces.org/places/bor_158;Rampiana;21.790465;43.449749;[{"uri":"http://pleiades.stoa.org/places/207156","names":['Gramrianae', 'Rampiana']}];
bordeaux;bor_217;dablae;http://linkedplaces.org/places/bor_217;Dablae;30.682355;40.269618;[{"uri":"http://pleiades.stoa.org/places/844900","names":['Dableis']}];
bordeaux;bor_23;tricensimum;http://linkedplaces.org/places/bor_23;Tricensimum;2.4893213;43.1834709;[{"uri":"http://pleiades.stoa.org/places/246706","names":['Tricensimum']}];
bordeaux;bor_100;ad fornolus;http://linkedplaces.org/places/bor_100;Ad Fornolus;13.720575;45.8908528;[{"uri":"http://pleiades.stoa.org/places/197063","names":['Ad Fornulos']}];
bordeaux;bor_218;ceratae;http://linkedplaces.org/places/bor_218;Ceratae;30.874479;40.188973;[{"uri":"http://pleiades.stoa.org/places/844892","names":['Ceratae']}];
bordeaux;bor_159;naisso;http://linkedplaces.org/places/bor_159;Naisso;21.8927;43.3206;[{"uri":"http://pleiades.stoa.org/places/207303","names":['Naissus', 'Niš']}];
bordeaux;bor_24;hosuerbas;http://linkedplaces.org/places/bor_24;Hosuerbas;2.7599705;43.2016515;[{"uri":"http://pleiades.stoa.org/places/246720","names":['Usuerva', 'Husuerbas', 'Usuerna']}];
bordeaux;bor_101;castra;http://linkedplaces.org/places/bor_101;Castra;13.905216;45.889328;[{"uri":"http://pleiades.stoa.org/places/197276","names":['Fluvio Frigido', 'Castra']}];
bordeaux;bor_160;redicibus;http://linkedplaces.org/places/bor_160;Redicibus;22.050333;43.301181;[{"uri":"http://pleiades.stoa.org/places/207373","names":['Radices']}];
bordeaux;bor_25;narbone;http://linkedplaces.org/places/bor_25;Narbone;3.003611;43.184722;[{"uri":"http://pleiades.stoa.org/places/246347","names":['Col. Narbo Martius', 'Col. Iulia Paterna Claudia', 'Narbonne']}];
bordeaux;bor_102;alpes iuliae;http://linkedplaces.org/places/bor_102;Alpes Iuliae;14.11198;45.86363;[{"uri":"http://pleiades.stoa.org/places/197317","names":['In Alpe Iulia', 'Ad Pirum']}];
bordeaux;bor_161;vlmo;http://linkedplaces.org/places/bor_161;Vlmo;22.122538;43.334995;[{"uri":"http://pleiades.stoa.org/places/207526","names":['Ulmo']}];
bordeaux;bor_26;beterris;http://linkedplaces.org/places/bor_26;Beterris;3.2178;43.3416;[{"uri":"http://pleiades.stoa.org/places/148056","names":['Col. Baeterrae', 'Col. Victrix Iulia Paterna', 'Béziers']}];
bordeaux;bor_162;romansiana;http://linkedplaces.org/places/bor_162;Romansiana;22.31138;43.21804;[{"uri":"http://pleiades.stoa.org/places/207382","names":['Remesiana']}];
bordeaux;bor_219;dadastano;http://linkedplaces.org/places/bor_219;Dadastano;31.109549;40.195974;[{"uri":"http://pleiades.stoa.org/places/844901","names":['Dadastana']}];
bordeaux;bor_272;arcas;http://linkedplaces.org/places/bor_272;Arcas;36.04677;34.53049;[{"uri":"http://pleiades.stoa.org/places/668198","names":['Arca', 'Herakleia en Phoinike', 'Caesarea ad Libanum']}];
bordeaux;bor_27;cessarone;http://linkedplaces.org/places/bor_27;Cessarone;3.4206;43.3951;[{"uri":"http://pleiades.stoa.org/places/147997","names":['Araura', 'Cessero', 'Saint-Thibéry', 'Cesse Rone']}];
bordeaux;bor_220;trans monte;http://linkedplaces.org/places/bor_220;Trans Monte;31.22005;40.225726;[{"uri":"http://pleiades.stoa.org/places/845086","names":['Transmonte']}];
bordeaux;bor_163;latina;http://linkedplaces.org/places/bor_163;Latina;22.408397;43.196933;[{"uri":"http://pleiades.stoa.org/places/207235","names":['Latina']}];
bordeaux;bor_273;bruttus;http://linkedplaces.org/places/bor_273;Bruttus;35.980539;34.516197;[{"uri":"http://pleiades.stoa.org/places/668215","names":['Bruttus']}];
bordeaux;bor_103;longatico;http://linkedplaces.org/places/bor_103;Longatico;14.22982;45.91769;[{"uri":"http://pleiades.stoa.org/places/197357","names":['Longaticum']}];
bordeaux;bor_221;milia;http://linkedplaces.org/places/bor_221;Milia;31.342518;40.197085;[{"uri":"http://pleiades.stoa.org/places/845019","names":['Milia']}];
bordeaux;bor_164;turribus;http://linkedplaces.org/places/bor_164;Turribus;22.58733;43.15771;[{"uri":"http://pleiades.stoa.org/places/207521","names":['Turres']}];
bordeaux;bor_104;ad nonum;http://linkedplaces.org/places/bor_104;Ad Nonum;14.36629;46.00907;[{"uri":"http://pleiades.stoa.org/places/197076","names":['Ad Nonum']}];
bordeaux;bor_222;iuliopolis;http://linkedplaces.org/places/bor_222;Iuliopolis;31.6450025;40.107062;[{"uri":"http://pleiades.stoa.org/places/844935","names":['Gordioukome', 'Iuliopolis']}];
bordeaux;bor_28;sostantione;http://linkedplaces.org/places/bor_28;Sostantione;3.89573;43.64139;[{"uri":"http://pleiades.stoa.org/places/148202","names":['Sextantio', 'Substantion']}];
bordeaux;bor_275;triclis;http://linkedplaces.org/places/bor_275;Triclis;35.714518;34.304024;[{"uri":"http://pleiades.stoa.org/places/668392","names":['Trieres']}];
bordeaux;bor_165;translitis;http://linkedplaces.org/places/bor_165;Translitis;22.77965;43.01454;[{"uri":"http://pleiades.stoa.org/places/207509","names":['Translitis']}];
bordeaux;bor_105;emona;http://linkedplaces.org/places/bor_105;Emona;14.501095;46.047361;[{"uri":"http://pleiades.stoa.org/places/197258","names":['Emona', 'Ljubljana']}];
bordeaux;bor_254;tarso;http://linkedplaces.org/places/bor_254;Tarso;34.89592;36.91242;[{"uri":"http://pleiades.stoa.org/places/648789","names":['Tarsus', 'Antiochia ad Cydnum', 'Tarzi', 'Tarzu', 'Iouliopolis', 'Antiocheia', 'Antiocheia pros Kydnō, Antiocheia pros Kydno', 'Tarša, Tarsha, Tarsa', 'Taršıš', 'Taršiš, Tarshish', 'Taršiš, Tarshish', 'Tarsos', 'Tarson', 'Tarsus', 'Ṭarsus, Tarsus', 'Ṭarsūs, Tarsus', 'Gözlükule, Gözlü Kule', 'Gözlü Kule', 'Antiocheia in Persis, Antiocheia on the Kydnos']}];
bordeaux;bor_283;tyro;http://linkedplaces.org/places/bor_283;Tyro;35.209358;33.268071;[{"uri":"http://pleiades.stoa.org/places/678437","names":['Tyrus', 'Col. Septimia Severa', 'Ṣuru, Suru', 'Ṣūru, Suru', 'Ṭūrā, Tura', 'Ṣūr, Sur, Sour', 'Ṭūra', 'Tyr', 'Ṣor, Sor', 'Ṣor, Sor', 'Ṣurru, Surru', 'Sur', 'Tyrus', 'Tyrus', 'Colonia Sept. T.', 'Colonia Septimia T., Colonia Septimia Tyra, Colonia Sept. T., Col. Septimia T.', 'Col. Septimia T.', 'Tyros']}];
bordeaux;bor_223;hicronpotamum;http://linkedplaces.org/places/bor_223;Hicronpotamum;31.690195;40.082671;[{"uri":"http://pleiades.stoa.org/places/844946","names":['Hieronpotamon']}];
bordeaux;bor_29;ambrosi;http://linkedplaces.org/places/bor_29;Ambrosi;4.149532;43.715393;[{"uri":"http://pleiades.stoa.org/places/147990","names":['Ambrussum', 'Pont-Ambroix (Ambrussum)']}];
bordeaux;bor_276;bruttos alia;http://linkedplaces.org/places/bor_276;Bruttos Alia;35.65831;34.25516;[{"uri":"http://pleiades.stoa.org/places/668214","names":['Botrys']}];
bordeaux;bor_106;ad quartodecimo;http://linkedplaces.org/places/bor_106;Ad Quartodecimo;14.58867;46.14973;[{"uri":"http://pleiades.stoa.org/places/197082","names":['Ad Quartodecimum']}];
bordeaux;bor_166;ballanstra;http://linkedplaces.org/places/bor_166;Ballanstra;22.8681801;42.9940251;[{"uri":"http://pleiades.stoa.org/places/206955","names":['Ballanstra']}];
bordeaux;bor_30;nemauso;http://linkedplaces.org/places/bor_30;Nemauso;4.300122722;43.8864857;[{"uri":"http://pleiades.stoa.org/places/148142","names":['Nemausus', 'Nîmes', 'Nemausos']}];
bordeaux;bor_167;meldia;http://linkedplaces.org/places/bor_167;Meldia;22.92984;42.921675;[{"uri":"http://pleiades.stoa.org/places/207275","names":['Meldia']}];
bordeaux;bor_224;agannia;http://linkedplaces.org/places/bor_224;Agannia;31.9622515;40.0219715;[{"uri":"http://pleiades.stoa.org/places/609447","names":['Lagania', 'Anastasioupolis', 'Lagantine']}];
bordeaux;bor_277;alcobile;http://linkedplaces.org/places/bor_277;Alcobile;35.645732;34.119026;[{"uri":"http://pleiades.stoa.org/places/668216","names":['Byblos', 'Byblos', 'Ǧubail', 'Gǝbȧl', 'Gǝbal, Gebal', 'Ǧubail, Jubail, Jubeil, Jubayl, Jubeyl, Jubiyl', 'gbl', 'Gibelet, Giblet', 'Gubl', 'Gubla', 'Gubla', 'Gubla', 'Ǧubēl, Jubel, Jbeil']}];
bordeaux;bor_107;hadrante;http://linkedplaces.org/places/bor_107;Hadrante;14.883019;46.188078;[{"uri":"http://pleiades.stoa.org/places/197147","names":['Atrans']}];
bordeaux;bor_31;ponte aerarium;http://linkedplaces.org/places/bor_31;Ponte Aerarium;4.5144978;43.753814;[{"uri":"http://pleiades.stoa.org/places/148160","names":['Pons Aerarius']}];
bordeaux;bor_225;petrobrogen;http://linkedplaces.org/places/bor_225;Petrobrogen;32.016977;40.053953;[{"uri":"http://pleiades.stoa.org/places/845038","names":['Petobrogen']}];
bordeaux;bor_168;scretisca;http://linkedplaces.org/places/bor_168;Scretisca;23.2154337;42.8130176;[{"uri":"http://pleiades.stoa.org/places/207435","names":['Scretisca']}];
bordeaux;bor_278;heldua;http://linkedplaces.org/places/bor_278;Heldua;35.491876;33.807178;[{"uri":"http://pleiades.stoa.org/places/678177","names":['Heldua']}];
bordeaux;bor_32;arelate;http://linkedplaces.org/places/bor_32;Arelate;4.62266;43.67586;[{"uri":"http://pleiades.stoa.org/places/148217","names":['Theline', 'Col. Arelate', 'Constantina', 'Col. Iulia Paterna Sextanorum Arelate', 'Arles']}];
bordeaux;bor_136;vedulia;http://linkedplaces.org/places/bor_136;Vedulia;19.463;45.01;[{"uri":"http://pleiades.stoa.org/places/206995","names":['Budalia']}];
bordeaux;bor_249;faustinopoli;http://linkedplaces.org/places/bor_249;Faustinopoli;34.723587;37.659399;[{"uri":"http://pleiades.stoa.org/places/648608","names":['Col. Faustinopolis', 'Halala']}];
bordeaux;bor_279;birito;http://linkedplaces.org/places/bor_279;Birito;35.501176;33.897902;[{"uri":"http://pleiades.stoa.org/places/678060","names":['Berytus', 'Laodikeia en te Phoinike', 'Col. Iulia Augusta Felix', 'Lattaquié', 'Beirut', 'Bēt Lāpaṭ', 'Bēt Lāpāṭ, Bet Lapat, Bet Lapath', 'Col. Iul. Aug. Fel. B., Col. Jul. Aug. Fel. B.', 'Biruta', 'Berot', 'Barut', 'Baruth', 'Bērūt, Berut', 'Bērytos, Berytos', 'Berytos', 'Bairūt, Bairut, Bayrut, Beyrut', 'Laodikeia, Laodicea', 'Colonia Julia Augusta B., Colonia Iulia Augusta B.', 'Beirut', 'Beirut', 'Colonia Jul. Aug. Fel. B., Colonia Iul. Aug. Fel. B.']}];
bordeaux;bor_108;ad medias;http://linkedplaces.org/places/bor_108;Ad Medias;15.099633;46.263669;[{"uri":"http://pleiades.stoa.org/places/197072","names":['Ad Medias']}];
bordeaux;bor_226;mnizos;http://linkedplaces.org/places/bor_226;Mnizos;32.2489715;40.04443;[{"uri":"http://pleiades.stoa.org/places/845020","names":['Mnizos']}];
bordeaux;bor_169;serdica;http://linkedplaces.org/places/bor_169;Serdica;23.3221545;42.6976489;[{"uri":"http://pleiades.stoa.org/places/207439","names":['Serdica', 'Sofia']}];
bordeaux;bor_280;parphirion;http://linkedplaces.org/places/bor_280;Parphirion;35.4202;33.6682;[{"uri":"http://pleiades.stoa.org/places/678338","names":['Porphyreon Polis']}];
bordeaux;bor_227;prasmon;http://linkedplaces.org/places/bor_227;Prasmon;32.249382;40.109949;[{"uri":"http://pleiades.stoa.org/places/845047","names":['Prasmon']}];
bordeaux;bor_109;celeia;http://linkedplaces.org/places/bor_109;Celeia;15.2602936;46.231018;[{"uri":"http://pleiades.stoa.org/places/197206","names":['Celeia', 'Celje']}];
bordeaux;bor_228;malogordis;http://linkedplaces.org/places/bor_228;Malogordis;32.429558;40.084044;[{"uri":"http://pleiades.stoa.org/places/845011","names":['Manegordo']}];
bordeaux;bor_281;sidona;http://linkedplaces.org/places/bor_281;Sidona;35.371208;33.560243;[{"uri":"http://pleiades.stoa.org/places/678393","names":['Sidon', 'Col. Aurelia Pia', 'Saiete, Sayete', 'ṣdn', 'ṣdn', 'Sydon', 'Saidā', 'Ṣaidā, Saida, Sayda', 'Ṣaida', 'Ṣaidā', 'Ṣidon, Sidon', 'Ṣidon, Sidon', 'Sidon', 'Sidōn, Sidon', 'Ṣidunu, Sidunu', 'Ṣīdūnu, Sidunu', 'Sidūnu, Sidunu', 'Ṣidūnu', 'Colonia Aur. Pia S.', 'Colonia Aurelia Pia S., Colonia Aur. Pia S., Colonia Aurelia Pia Sidon', 'Seete']}];
bordeaux;bor_110;lotodos;http://linkedplaces.org/places/bor_110;Lotodos;15.3644038;46.3629738;[{"uri":"http://pleiades.stoa.org/places/197069","names":['Ad Lotodos']}];
bordeaux;bor_282;sarepta;http://linkedplaces.org/places/bor_282;Sarepta;35.295048;33.46431;[{"uri":"http://pleiades.stoa.org/places/678374","names":['Sarepta', 'Makra Kome']}];
bordeaux;bor_229;cenaxem palidem;http://linkedplaces.org/places/bor_229;Cenaxem Palidem;32.6625835;39.9844845;[{"uri":"http://pleiades.stoa.org/places/619136","names":['Cenaxis Palus']}];
bordeaux;bor_111;ragindone;http://linkedplaces.org/places/bor_111;Ragindone;15.5;46.351;[{"uri":"http://pleiades.stoa.org/places/197467","names":['Ragando']}];
bordeaux;bor_33;arnagine;http://linkedplaces.org/places/bor_33;Arnagine;4.6980992;43.7666736;[{"uri":"http://pleiades.stoa.org/places/148074","names":['Ernaginum']}];
bordeaux;bor_170;extuomne;http://linkedplaces.org/places/bor_170;Extuomne;23.4647832;42.6593666;[{"uri":"http://pleiades.stoa.org/places/481835","names":['Extuomne']}];
bordeaux;bor_112;pultouia;http://linkedplaces.org/places/bor_112;Pultouia;15.69058;46.40644;[{"uri":"http://pleiades.stoa.org/places/197460","names":['Pultovia']}];
bordeaux;bor_34;bellinto;http://linkedplaces.org/places/bor_34;Bellinto;4.78;43.883;[{"uri":"http://pleiades.stoa.org/places/148019","names":['Bellintum']}];
bordeaux;bor_171;buragara;http://linkedplaces.org/places/bor_171;Buragara;23.619393;42.649254;[{"uri":"http://pleiades.stoa.org/places/481775","names":['Burgaraca']}];
bordeaux;bor_113;poetouione;http://linkedplaces.org/places/bor_113;Poetouione;15.8699813;46.4199885;[{"uri":"http://pleiades.stoa.org/places/197446","names":['Poetovio']}];
bordeaux;bor_35;auenione;http://linkedplaces.org/places/bor_35;Auenione;4.80769;43.95159;[{"uri":"http://pleiades.stoa.org/places/148004","names":['Avennio', 'Avignon']}];
bordeaux;bor_172;sparata;http://linkedplaces.org/places/bor_172;Sparata;23.7097576;42.5593528;[{"uri":"http://pleiades.stoa.org/places/481998","names":['Sparata']}];
bordeaux;bor_36;cypresseta;http://linkedplaces.org/places/bor_36;Cypresseta;4.8727;44.0125;[{"uri":"http://pleiades.stoa.org/places/148065","names":['Cypresseta']}];
bordeaux;bor_173;hilica;http://linkedplaces.org/places/bor_173;Hilica;23.8161718;42.4382418;[{"uri":"http://pleiades.stoa.org/places/481860","names":['Helice']}];
bordeaux;bor_37;arausione;http://linkedplaces.org/places/bor_37;Arausione;4.807393;44.138048;[{"uri":"http://pleiades.stoa.org/places/148054","names":['Col. Arausio', 'Col. Firma Iulia Arausio Secundanorum', 'Orange']}];
bordeaux;bor_174;soneio;http://linkedplaces.org/places/bor_174;Soneio;23.922456;42.356859;[{"uri":"http://pleiades.stoa.org/places/481996","names":['Soneio']}];
