collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;comment;nights
roundabout;ra0047;Redpath, Scotland;http://linkedplaces.org/places/ra0047;Redpath;-2.661543;55.613029;;;;
roundabout;ra0001;Palo Alto, CA;http://linkedplaces.org/places/ra0001;Palo Alto;-122.14302;37.44188;[{"uri":"http://api.geonames.org/getJSON?geonameId=5380748&username=kgeographer&style=full","names":["Palo Alto"]}];;;
roundabout;ra0002;Fernley, NV;http://linkedplaces.org/places/ra0002;Fernley;-119.25183;39.60797;[{"uri":"http://api.geonames.org/getJSON?geonameId=5504003&username=kgeographer&style=full","names":["Fernley"]}];;;1
roundabout;ra0003;Delta, UT;http://linkedplaces.org/places/ra0003;Delta;-112.57717;39.35218;[{"uri":"http://api.geonames.org/getJSON?geonameId=5538080&username=kgeographer&style=full","names":["Delta"]}];;;1
roundabout;ra0004;Craig, CO;http://linkedplaces.org/places/ra0004;Craig;-107.54645;40.51525;[{"uri":"http://api.geonames.org/getJSON?geonameId=5576064&username=kgeographer&style=full","names":["Craig"]}];;;1
roundabout;ra0005;Fort Collins, CO;http://linkedplaces.org/places/ra0005;Fort Collins;-105.08442;40.58526;[{"uri":"http://api.geonames.org/getJSON?geonameId=5577147&username=kgeographer&style=full","names":["Fort Collins"]}];;;1
roundabout;ra0006;Denver, CO;http://linkedplaces.org/places/ra0006;Denver;-104.9847;39.73915;[{"uri":"http://api.geonames.org/getJSON?geonameId=5419384&username=kgeographer&style=full","names":["Denver"]}];;;4
roundabout;ra0007;Cambridge, MA;http://linkedplaces.org/places/ra0007;Cambridge;-71.10561;42.3751;[{"uri":"http://api.geonames.org/getJSON?geonameId=4931972&username=kgeographer&style=full","names":["Cambridge"]}];;;3
roundabout;ra0008;Paris, France;http://linkedplaces.org/places/ra0008;Paris;2.3488;48.85341;[{"uri":"http://api.geonames.org/getJSON?geonameId=2988507&username=kgeographer&style=full","names":["Paris"]}];;;
roundabout;ra0009;Bourg-en-Bresse, France;http://linkedplaces.org/places/ra0009;Bourg-en-Bresse;5.2258;46.20574;[{"uri":"http://api.geonames.org/getJSON?geonameId=3031009&username=kgeographer&style=full","names":["Bourg-en-Bresse"]}];;;1
roundabout;ra0010;Milan, Italy;http://linkedplaces.org/places/ra0010;Milan;9.18951;45.46427;[{"uri":"http://api.geonames.org/getJSON?geonameId=3173435&username=kgeographer&style=full","names":["Milan"]}];;;1
roundabout;ra0011;Rijeka, Croatia;http://linkedplaces.org/places/ra0011;Rijeka;14.40917;45.34306;[{"uri":"http://api.geonames.org/getJSON?geonameId=3191648&username=kgeographer&style=full","names":["Rijeka"]}];;;2
roundabout;ra0012;Zagreb, Croatia;http://linkedplaces.org/places/ra0012;Zagreb;15.97798;45.81444;[{"uri":"http://api.geonames.org/getJSON?geonameId=3186886&username=kgeographer&style=full","names":["Zagreb"]}];;;2
roundabout;ra0013;Sarajevo, Bosnia and Herzegovina;http://linkedplaces.org/places/ra0013;Sarajevo;18.35644;43.84864;[{"uri":"http://api.geonames.org/getJSON?geonameId=3191281&username=kgeographer&style=full","names":["Sarajevo"]}];;;2
roundabout;ra0014;Mostar, Bosnia and Herzegovina;http://linkedplaces.org/places/ra0014;Mostar;17.80806;43.34333;[{"uri":"http://api.geonames.org/getJSON?geonameId=3194828&username=kgeographer&style=full","names":["Mostar"]}];;;2
roundabout;ra0015;Dubrovnik, Croatia;http://linkedplaces.org/places/ra0015;Dubrovnik;18.09216;42.64807;[{"uri":"http://api.geonames.org/getJSON?geonameId=3201047&username=kgeographer&style=full","names":["Dubrovnik"]}];;;4
roundabout;ra0016;Kotor, Montenegro;http://linkedplaces.org/places/ra0016;Kotor;18.76825;42.42067;[{"uri":"http://api.geonames.org/getJSON?geonameId=3197538&username=kgeographer&style=full","names":["Kotor"]}];;;
roundabout;ra0017;Split, Croatia;http://linkedplaces.org/places/ra0017;Split;16.43915;43.50891;[{"uri":"http://api.geonames.org/getJSON?geonameId=3190261&username=kgeographer&style=full","names":["Split"]}];;;3
roundabout;ra0018;Trogir, Croatia;http://linkedplaces.org/places/ra0018;Trogir;16.250493;43.516829;[{"uri":"http://api.geonames.org/getJSON?geonameId=3188763&username=kgeographer&style=full","names":["Trogir"]}];;;
roundabout;ra0019;Solin, Croatia;http://linkedplaces.org/places/ra0019;Solin;16.49314;43.5432;[{"uri":"http://api.geonames.org/getJSON?geonameId=3190359&username=kgeographer&style=full","names":["Solin"]}];;;
roundabout;ra0020;Ancona, Italy;http://linkedplaces.org/places/ra0020;Ancona;13.50337;43.5942;[{"uri":"http://api.geonames.org/getJSON?geonameId=3183089&username=kgeographer&style=full","names":["Ancona"]}];;;
roundabout;ra0021;Ascoli Piceno, Italy;http://linkedplaces.org/places/ra0021;Ascoli Piceno;13.57395;42.85351;[{"uri":"http://api.geonames.org/getJSON?geonameId=3182749&username=kgeographer&style=full","names":["Ascoli Piceno"]}];;;61
roundabout;ra0022;Madrid, Spain;http://linkedplaces.org/places/ra0022;Madrid;-3.70256;40.4165;[{"uri":"http://api.geonames.org/getJSON?geonameId=3117735&username=kgeographer&style=full","names":["Madrid"]}];;;
roundabout;ra0023;Edinburgh, Scotland;http://linkedplaces.org/places/ra0023;Edinburgh;-3.19648;55.95206;[{"uri":"http://api.geonames.org/getJSON?geonameId=2650225&username=kgeographer&style=full","names":["Edinburgh"]}];;;
roundabout;ra0024;Bangkok, Thailand;http://linkedplaces.org/places/ra0024;Bangkok;100.50144;13.75398;[{"uri":"http://api.geonames.org/getJSON?geonameId=1609350&username=kgeographer&style=full","names":["Bangkok"]}];;;
roundabout;ra0025;Korenica, Croatia;http://linkedplaces.org/places/ra0025;Korenica;15.70972;44.7439;[{"uri":"http://api.geonames.org/getJSON?geonameId=3189076&username=kgeographer&style=full","names":["Korenica"]}];;;
roundabout;ra0026;Sarnano, Italy;http://linkedplaces.org/places/ra0026;Sarnano;13.29818;43.03475;[{"uri":"http://api.geonames.org/getJSON?geonameId=3167119&username=kgeographer&style=full","names":["Sarnano"]}];;;
roundabout;ra0027;Grottammare, Italy;http://linkedplaces.org/places/ra0027;Grottammare;13.86765;42.98182;[{"uri":"http://api.geonames.org/getJSON?geonameId=3175771&username=kgeographer&style=full","names":["Grottammare"]}];;;
roundabout;ra0028;Offida, Italy;http://linkedplaces.org/places/ra0028;Offida;13.69773;42.93499;[{"uri":"http://api.geonames.org/getJSON?geonameId=3172104&username=kgeographer&style=full","names":["Offida"]}];;;
roundabout;ra0029;Rome, Italy;http://linkedplaces.org/places/ra0029;Rome;12.4964;41.9028;[{"uri":"http://api.geonames.org/getJSON?geonameId=3169070&username=kgeographer&style=full","names":["Rome"]}];;;
roundabout;ra0030;Urbino, Italy;http://linkedplaces.org/places/ra0030;Urbino;12.6363;43.7262;[{"uri":"http://api.geonames.org/getJSON?geonameId=3165035&username=kgeographer&style=full","names":["Urbino"]}];;;
roundabout;ra0031;San Marino;http://linkedplaces.org/places/ra0031;San Marino;12.4464;43.9367;[{"uri":"http://api.geonames.org/getJSON?geonameId=3168070&username=kgeographer&style=full","names":["San Marino"]}];;;
roundabout;ra0032;Rieti, Italy;http://linkedplaces.org/places/ra0032;Rieti;12.8574;42.4048;[{"uri":"http://api.geonames.org/getJSON?geonameId=3169412&username=kgeographer&style=full","names":["Rieti"]}];;;
roundabout;ra0033;Boston, MA;http://linkedplaces.org/places/ra0033;Boston;-71.0589;42.3601;[{"uri":"http://api.geonames.org/getJSON?geonameId=4930956&username=kgeographer&style=full","names":["Boston"]}];;;
roundabout;ra0034;Reykjavik, Iceland;http://linkedplaces.org/places/ra0034;Reykjavik;-21.8174;64.1265;[{"uri":"http://api.geonames.org/getJSON?geonameId=3413829&username=kgeographer&style=full","names":["Reykjavík"]}];;;
roundabout;ra0036;Civitanova Marche, Italy;http://linkedplaces.org/places/ra0036;Civitanova Marche;13.72068;43.30491;[{"uri":"http://api.geonames.org/getJSON?geonameId=3170102&username=kgeographer&style=full","names":["Civitanova Marche"]}];;;
roundabout;ra0037;Assisi, Italy;http://linkedplaces.org/places/ra0037;Assisi;12.62109;43.06671;[{"uri":"http://api.geonames.org/getJSON?geonameId=3182722&username=kgeographer&style=full","names":["Assisi"]}];;;
roundabout;ra0038;Figueres, Spain;http://linkedplaces.org/places/ra0038;Figueres;2.96163;42.26645;[{"uri":"http://api.geonames.org/getJSON?geonameId=3122453&username=kgeographer&style=full","names":["Figueres"]}];;;
roundabout;ra0039;Mérida, Spain;http://linkedplaces.org/places/ra0039;Mérida;-6.34366;38.91611;[{"uri":"http://api.geonames.org/getJSON?geonameId=2513917&username=kgeographer&style=full","names":["Mérida"]}];;;
roundabout;ra0040;Seville, Spain;http://linkedplaces.org/places/ra0040;Sevilla;-5.97317;37.38283;[{"uri":"http://api.geonames.org/getJSON?geonameId=2510911&username=kgeographer&style=full","names":["Sevilla"]}];;;
roundabout;ra0041;Córdoba, Spain;http://linkedplaces.org/places/ra0041;Cordoba;-4.77275;37.89155;[{"uri":"http://api.geonames.org/getJSON?geonameId=2519240&username=kgeographer&style=full","names":["Córdoba"]}];;;
roundabout;ra0042;Granada, Spain;http://linkedplaces.org/places/ra0042;Granada;-3.60667;37.18817;[{"uri":"http://api.geonames.org/getJSON?geonameId=2517117&username=kgeographer&style=full","names":["Granada"]}];;;
roundabout;ra0043;Consuegra, Spain;http://linkedplaces.org/places/ra0043;Consuegra;-3.608;39.46246;[{"uri":"http://api.geonames.org/getJSON?geonameId=2519277&username=kgeographer&style=full","names":["Consuegra"]}];;;
roundabout;ra0044;Toledo, Spain;http://linkedplaces.org/places/ra0044;Toledo;-4.02263;39.8581;[{"uri":"http://api.geonames.org/getJSON?geonameId=2510409&username=kgeographer&style=full","names":["Toledo"]}];;;
roundabout;ra0045;San Sebastián, Spain;http://linkedplaces.org/places/ra0045;San Sebastian;-1.97499;43.31283;[{"uri":"http://api.geonames.org/getJSON?geonameId=3110044&username=kgeographer&style=full","names":["Donostia / San Sebastián"]}];;;
roundabout;ra0046;Orléans, France;http://linkedplaces.org/places/ra0046;Orléans;1.90389;47.90289;[{"uri":"http://api.geonames.org/getJSON?geonameId=2989317&username=kgeographer&style=full","names":["Orléans"]}];;;
roundabout;ra0048;Glasgow, Scotland;http://linkedplaces.org/places/ra0048;Glasgow;-4.25763;55.86515;[{"uri":"http://api.geonames.org/getJSON?geonameId=2648579&username=kgeographer&style=full","names":["Glasgow"]}];;;
roundabout;ra0049;Fort William, Scotland;http://linkedplaces.org/places/ra0049;Fort William;-5.11208;56.81648;[{"uri":"http://api.geonames.org/getJSON?geonameId=2649169&username=kgeographer&style=full","names":["Fort William"]}];;;
roundabout;ra0050;Inverness, Scotland;http://linkedplaces.org/places/ra0050;Inverness;-4.22398;57.47908;[{"uri":"http://api.geonames.org/getJSON?geonameId=2646088&username=kgeographer&style=full","names":["Inverness"]}];;;
roundabout;ra0051;Stanley, Scotland;http://linkedplaces.org/places/ra0051;Stanley;-3.451879;56.4854;[{"uri":"http://api.geonames.org/getJSON?geonameId=2637071&username=kgeographer&style=full","names":["Stanley"]}];;;
roundabout;ra0052;Vienna, Austria;http://linkedplaces.org/places/ra0052;Vienna;16.37208;48.20849;[{"uri":"http://api.geonames.org/getJSON?geonameId=2761369&username=kgeographer&style=full","names":["Vienna"]}];;;
roundabout;ra0053;Chiang Mai, Thailand;http://linkedplaces.org/places/ra0053;Chiang Mai;98.98468;18.79038;[{"uri":"http://api.geonames.org/getJSON?geonameId=1153671&username=kgeographer&style=full","names":["Chiang Mai"]}];;;
roundabout;ra0054;Nong Khai, Thailand;http://linkedplaces.org/places/ra0054;Nong Khai;102.742;17.87847;[{"uri":"http://api.geonames.org/getJSON?geonameId=1608232&username=kgeographer&style=full","names":["Nong Khai"]}];;;
roundabout;ra0055;Frankfurt, Germany;http://linkedplaces.org/places/ra0055;Frankfurt am Main;8.68417;50.11552;[{"uri":"http://api.geonames.org/getJSON?geonameId=2925533&username=kgeographer&style=full","names":["Frankfurt am Main"]}];;;
roundabout;ra0056;Doha, Qatar;http://linkedplaces.org/places/ra0056;Doha;51.52245;25.27932;[{"uri":"http://api.geonames.org/getJSON?geonameId=290030&username=kgeographer&style=full","names":["Doha"]}];;;
